"key","en","de","fr","ar","es","it"
"Missing selected service. Please go back and choose a service first.","Missing selected service. Please go back and choose a service first.","Der ausgewählte Service fehlt. Bitte gehen Sie zurück und wählen Sie zuerst einen Service aus.","Service sélectionné introuvable. Veuillez revenir en arrière et choisir un service.","الخدمة المختارة غير موجودة. يرجى العودة واختيار خدمة أولاً.","Falta el servicio seleccionado. Por favor, vuelva atrás y seleccione un servicio primero.","Servizio selezionato mancante. Torna indietro e scegli prima un servizio."
"Missing wheels","Missing wheels","Fehlende Räder","Roues manquantes","عجلات مفقودة","Faltan ruedas","Ruote mancanti"
"Mocked location detected","Mocked location detected","Gefälschter Standort erkannt","Emplacement fictif détecté","تم الكشف عن موقع وهمي","Se ha detectado una ubicación simulada.","Rilevata posizione simulata"
"Model (optional)","Model (optional)","Modell (optional)","Modèle (facultatif)","الموديل (اختياري)","Modelo (opcional)","Modello (facoltativo)"
"Model:","Model:","Modell:","Modèle:","نموذج:","Modelo:","Modello:"
"Motorcycle","Motorcycle","Motorrad","Moto","دراجة نارية","Motocicleta","Moto"
"Motorcycle & Bicycle","Motorcycle & Bicycle","Motorrad & Fahrrad","Moto & vélo","الدراجة النارية والدراجة الهوائية","Motocicleta y bicicleta","Moto e bicicletta"
"Motorcycle Condition","Motorcycle Condition","Motorradzustand","État de la moto","حالة الدراجة النارية","Estado de la motocicleta","Condizioni della moto"
"Motorcycle Details","Motorcycle Details","Motorraddetails","Détails de la moto","تفاصيل الدراجة النارية","Detalles de la motocicleta","Dettagli della moto"
"Motorcycle Type","Motorcycle Type","Motorradtyp","Type de moto","نوع الدراجة النارية","Tipo motocicleta","Tipo di moto"
"Motorcycle details are missing. Please go back and complete them first.","Motorcycle details are missing. Please go back and complete them first.","Die Angaben zum Motorrad fehlen. Bitte vervollständigen Sie diese zuerst.","Les informations concernant la moto sont manquantes. Veuillez les compléter.","بيانات الدراجة النارية غير مكتملة. يرجى العودة وإكمالها أولاً.","Faltan los datos de la motocicleta. Por favor, vuelva atrás y complételos primero.","Mancano i dettagli della moto. Torna indietro e completali."
"Motorcycle transport","Motorcycle transport","Motorradtransport","Transport de moto","نقل الدراجات النارية","Transporte de motocicletas","Trasporto moto"
"Moving date:","Moving date:","Umzugsdatum:","Date de déménagement :","تاريخ الانتقال:","Fecha de mudanza:","Data del trasloco:"
"Multiple smaller pieces","Multiple smaller pieces","Mehrere kleinere Stücke","Plusieurs petits morceaux","قطع صغيرة متعددة","Varias piezas más pequeñas","Più pezzi di piccole dimensioni"
"My Orders","My Orders","Meine Aufträge","Mes commandes","طلباتي","Mis pedidos","I miei ordini"
"My Requests","My Requests","Meine Anfragen","Mes demandes","طلباتي","Mis solicitudes","Le mie richieste"
"Name, email, and password are required.","Name, email, and password are required.","Name, E-Mail und Passwort sind erforderlich.","Le nom, l'e-mail et le mot de passe sont requis.","الاسم والبريد الإلكتروني وكلمة المرور مطلوبة.","Se requieren nombre, correo electrónico y contraseña.","Nome, email e password sono obbligatori."
"Near-delivery alert","Near-delivery alert","Benachrichtigung über bevorstehende Lieferung","Alerte de livraison imminente","تنبيه اقتراب موعد التسليم","Alerta de entrega próxima","Avviso di prossimità alla consegna"
"Needs crane","Needs crane","Kran erforderlich","Il faut une grue","يحتاج إلى رافعة","Necesita grúa","Necessita di gru"
"Needs helpers:","Needs helpers:","Benötigt Helfer:","Besoin d'aide :","يحتاج إلى مساعدين:","Necesita ayudantes:","Richiede aiutanti:"
"Needs jump-start","Needs jump-start","Braucht einen Anschub","Besoin d'un coup de pouce pour démarrer","يحتاج إلى شحن البطارية","Necesita arranque con pinzas","Necessita di avviamento con cavi"
"Needs winch","Needs winch","Benötigt eine Seilwinde","Nécessite un treuil","يحتاج إلى ونش","Necesita un cabrestante","Necessita di verricello"
"Network error. Please try again.","Network error. Please try again.","Netzwerkfehler. Bitte versuchen Sie es erneut.","Erreur réseau. Veuillez réessayer.","خطأ في الشبكة. حاول مرة أخرى.","Error de red. Inténtalo de nuevo.","Errore di rete. Riprova."
"New","New","Neu","Nouveau","جديد","Nuevo","Nuovo"
"New Request","New Request","Neue Anfrage","Nouvelle demande","طلب جديد","Nueva solicitud","Nuova richiesta"
"New Transport Request","New Transport Request","Neue Transportanfrage","Nouvelle demande de transport","طلب نقل جديد","Nueva solicitud de transporte","Nuova richiesta di trasporto"
"New customer?","New customer?","Neuer Kunde?","Nouveau client ?","عميل جديد؟","¿Cliente nuevo?","Nuovo cliente?"
"New request","New request","Neue Anfrage","Nouvelle demande","طلب جديد","Nueva solicitud","Nuova richiesta"
"Next step","Next step","Nächster Schritt","Étape suivante","الخطوة التالية","Siguiente paso","Passaggio successivo"
"No","No","Nein","Non","لا","No","No"
"No Photo","No Photo","Kein Foto","Pas de photo","لا توجد صورة","Sin foto","Nessuna foto"
"No active order","No active order","Kein aktiver Auftrag","Aucune commande active","لا يوجد طلب نشط","No hay ningún pedido activo","Nessun ordine attivo"
"No active orders","No active orders","Keine aktiven Aufträge","Aucune commande active","لا توجد طلبات نشطة","No hay pedidos activos","Nessun ordine attivo"
"No active requests right now.","No active requests right now.","Derzeit keine aktiven Anfragen.","Aucune demande active pour le moment.","لا توجد طلبات نشطة حالياً.","No hay solicitudes activas en este momento.","Al momento non ci sono richieste attive."
"No additional charges yet.","No additional charges yet.","Bisher keine zusätzlichen Kosten.","Aucun frais supplémentaire pour le moment.","لا توجد رسوم إضافية حتى الآن.","Aún no hay cargos adicionales.","Nessun costo aggiuntivo al momento."
"No cancelled orders","No cancelled orders","Keine stornierten Aufträge","Aucune commande annulée","لا توجد طلبات ملغاة","No hay pedidos cancelados","Nessun ordine annullato"
"No chat room is available for this transport request yet.","No chat room is available for this transport request yet.","Für diese Transportanfrage ist noch kein Chatraum verfügbar.","Aucun espace de discussion n'est encore disponible pour cette demande de transport.","لا توجد غرفة دردشة متاحة لطلب النقل هذا حتى الآن.","Aún no hay disponible una sala de chat para esta solicitud de transporte.","Non è ancora disponibile una chat per questa richiesta di trasporto."
"No completed orders","No completed orders","Keine abgeschlossenen Aufträge","Aucune commande terminée","لا توجد طلبات مكتملة","No hay pedidos completados","Nessun ordine completato"
"No email","No email","Keine E-Mail","Aucun e-mail","لا يوجد بريد إلكتروني","Sin correo electrónico","Nessuna email"
"No history requests yet.","No history requests yet.","Noch kein Anfrageverlauf vorhanden.","Aucun historique de demandes pour le moment.","لا يوجد سجل طلبات بعد.","Aún no hay historial de solicitudes.","Non ci sono ancora richieste nella cronologia."
"No matching places found.","No matching places found.","Keine passenden Orte gefunden.","Aucun lieu correspondant trouvé.","لم يتم العثور على أماكن مطابقة.","No se encontraron coincidencias.","Nessun luogo corrispondente trovato."
"No messages yet","No messages yet","Noch keine Nachrichten","Aucun message pour l'instant","لم يتم إرسال أي رسالة بعد","Aún no hay mensajes.","Nessun messaggio"
"No notifications yet.","No notifications yet.","Noch keine Benachrichtigungen.","Aucune notification pour le moment.","لا توجد إشعارات بعد.","Aún no hay notificaciones.","Nessuna notifica al momento."
"No phone number","No phone number","Keine Telefonnummer","Aucun numéro de téléphone","لا يوجد رقم هاتف","Sin número de teléfono","Nessun numero di telefono"
"No photos added","No photos added","Keine Fotos hinzugefügt","Aucune photo ajoutée","لم تتم إضافة أي صور","No se han añadido fotos","Nessuna foto aggiunta"
"No photos added.","No photos added.","Keine Fotos hinzugefügt.","Aucune photo ajoutée.","لم تتم إضافة صور.","No se han añadido fotos.","Nessuna foto aggiunta."
"No rating yet","No rating yet","Noch keine Bewertung","Aucune évaluation pour le moment","لم يتم التقييم بعد","Aún no hay calificación.","Nessuna valutazione"
"No requests yet. Start your first transport request.","No requests yet. Start your first transport request.","Noch keine Anfragen. Starten Sie Ihre erste Transportanfrage.","Aucune demande pour l'instant. Commencez votre première demande de transport.","لا توجد طلبات بعد. ابدأ أول طلب نقل لك.","Aún no hay solicitudes. Inicia tu primera solicitud de transporte.","Nessuna richiesta al momento. Crea la tua prima richiesta di trasporto."
"No results","No results","Keine Ergebnisse","Aucun résultat","لا توجد نتائج","No hay resultados","Nessun risultato"
"No saved card","No saved card","Keine gespeicherte Karte","Aucune carte enregistrée","لا توجد بطاقة محفوظة","No hay tarjeta guardada","Nessuna carta salvata"
"No services available","No services available","Keine Services verfügbar","Aucun service disponible","لا توجد خدمات متاحة","No hay servicios disponibles","Nessun servizio disponibile"
"No wallet activity yet. Add money to start using your app wallet.","No wallet activity yet. Add money to start using your app wallet.","Bisher keine Wallet-Aktivitäten. Laden Sie Guthaben auf, um Ihre App-Wallet zu nutzen.","Aucune activité sur votre portefeuille pour le moment. Ajoutez des fonds pour commencer à utiliser le portefeuille de votre application.","لم يتم إجراء أي نشاط على المحفظة حتى الآن. أضف رصيدًا لبدء استخدام محفظة التطبيق.","Aún no hay actividad en la billetera. Agrega dinero para comenzar a usar tu billetera virtual.","Nessuna attività nel portafoglio. Aggiungi fondi per iniziare a utilizzare il portafoglio dell'app."
